terminalName,Street Address,location,Bikes Available,Docks Empty,Total Station Capacity,Time Imported
31204,20th & E St NW,"(38.8963, -77.045)",0,14,14,12:23:20
31205,21st & I St NW,"(38.9008, -77.047)",3,32,35,12:23:20
31215,Georgetown Harbor / 30th St NW,"(38.9022212, -77.059219)",2,16,18,12:23:20
31227,13th St & New York Ave NW,"(38.900283, -77.029822)",7,15,22,12:23:20
31232,7th & F St NW / National Portrait Gallery,"(38.897332, -77.022292)",4,22,26,12:23:20
31233,17th & K St NW / Farragut Square,"(38.902061, -77.038322)",3,32,35,12:23:20
31000,Eads St & 15th St S,"(38.858971, -77.05323)",3,12,15,12:23:20
31001,18th & Eads St.,"(38.85725, -77.05332)",5,6,11,12:23:20
31002,Crystal Dr & 20th St S,"(38.856425, -77.049232)",6,10,16,12:23:20
31003,Crystal Dr & 15th St S,"(38.86017, -77.049593)",2,7,9,12:23:20
31004,Aurora Hills Community Ctr/18th & Hayes St,"(38.857866, -77.05949)",2,9,11,12:23:20
31005,Pentagon City Metro / 12th & S Hayes St,"(38.862303, -77.059936)",0,19,19,12:23:20
31006,S Joyce & Army Navy Dr,"(38.8637, -77.0633)",7,7,14,12:23:20
31007,Crystal City Metro / 18th & Bell St,"(38.85740496261504, -77.05113172531128)",4,14,18,12:23:20
31008,12th & Army Navy Dr,"(38.8629, -77.0528)",0,11,11,12:23:20
31009,Crystal Dr & 27th St S,"(38.848466, -77.051514)",5,5,10,12:23:20
31010,S Glebe & Potomac Ave,"(38.8426, -77.0502)",4,6,10,12:23:20
31011,Crystal Dr & 23rd St S,"(38.8533, -77.0498)",7,9,16,12:23:20
31012,26th & S Clark St,"(38.850688, -77.05152)",6,3,9,12:23:20
31100,19th St & Pennsylvania Ave NW,"(38.9003, -77.0429)",9,4,13,12:23:20
31101,14th & V St NW,"(38.9176, -77.0321)",18,9,27,12:23:20
31102,11th & Kenyon St NW,"(38.929464, -77.027822)",0,26,26,12:23:20
31103,16th & Harvard St NW,"(38.926088, -77.036536)",10,22,32,12:23:20
31104,Adams Mill & Columbia Rd NW,"(38.922925, -77.042581)",7,8,15,12:23:20
31105,14th & Harvard St NW,"(38.9268, -77.0322)",2,16,18,12:23:20
31106,Calvert & Biltmore St NW,"(38.923203, -77.047637)",9,12,21,12:23:20
31107,Lamont & Mt Pleasant NW,"(38.9319, -77.0388)",3,14,17,12:23:20
31108,4th & M St SW,"(38.8767, -77.0178)",9,12,21,12:23:20
31201,15th & P St NW,"(38.90985, -77.034438)",5,9,14,12:23:20
31202,14th & R St NW,"(38.91293854609145, -77.03208535909653)",3,16,19,12:23:20
31203,14th & Rhode Island Ave NW,"(38.9086, -77.0323)",2,21,23,12:23:20
31400,Georgia & New Hampshire Ave NW,"(38.936043, -77.024649)",2,12,14,12:23:20
31401,14th St & Spring Rd NW,"(38.9375, -77.0328)",11,8,19,12:23:20
31502,John McCormack Dr & Michigan Ave NE,"(38.9346, -76.9955)",5,6,11,12:23:20
31600,5th & K St NW,"(38.90304, -77.019027)",8,10,18,12:23:20
31601,19th & East Capitol St SE,"(38.8896, -76.9769)",5,9,14,12:23:20
31602,Park Rd & Holmead Pl NW,"(38.9308, -77.0315)",10,8,18,12:23:20
31700,Good Hope & Naylor Rd SE,"(38.86022668950909, -76.96657240390778)",5,6,11,12:23:20
31305,Connecticut Ave & Newark St NW / Cleveland Park,"(38.934267, -77.057979)",3,6,9,12:23:20
31702,Randle Circle & Minnesota Ave SE,"(38.878, -76.9607)",3,7,10,12:23:20
31703,Minnesota Ave Metro/DOES,"(38.897063, -76.947446)",9,5,14,12:23:20
31704,Nannie Helen Burroughs & Minnesota Ave NE,"(38.901385, -76.941877)",8,3,11,12:23:20
31801,Anacostia Metro,"(38.862669, -76.994637)",5,5,10,12:23:20
31802,Good Hope Rd & MLK Ave SE,"(38.867373, -76.988039)",4,6,10,12:23:20
31206,19th & E Street NW,"(38.8952, -77.0436)",3,8,11,12:23:20
31500,4th & W St NE,"(38.919077, -77.000648)",2,12,14,12:23:20
31111,10th & U St NW,"(38.9172, -77.0259)",2,13,15,12:23:20
31207,Georgia Ave and Fairmont St NW,"(38.9249, -77.0222)",0,11,11,12:23:20
31209,1st & N St  SE,"(38.8743, -77.0057)",2,36,38,12:23:20
31110,20th St & Florida Ave NW,"(38.9154, -77.0446)",6,7,13,12:23:20
31109,7th & T St NW,"(38.9155, -77.0222)",13,1,14,12:23:20
31013,Eads & 22nd St S,"(38.85438051517749, -77.05341160297394)",4,11,15,12:23:20
31208,M St & New Jersey Ave SE,"(38.8763, -77.0037)",3,12,15,12:23:20
31200,Massachusetts Ave & Dupont Circle NW,"(38.9101, -77.0444)",12,30,42,12:23:20
31603,1st & M St NE,"(38.9057, -77.0056)",4,11,15,12:23:20
31212,21st & M St NW,"(38.90534, -77.046774)",6,11,17,12:23:20
31213,17th & K St NW,"(38.90276, -77.03863)",9,11,20,12:23:20
31604,3rd & H St NW,"(38.899408, -77.015289)",0,15,15,12:23:20
31605,3rd & D St SE,"(38.8851, -77.0023)",10,1,11,12:23:20
31606,Potomac & Pennsylvania Ave SE,"(38.8803, -76.9862)",7,7,14,12:23:20
31607,13th & E St SE,"(38.88291548476762, -76.98790669441223)",2,13,15,12:23:20
31214,17th & Corcoran St NW,"(38.9121, -77.0387)",6,13,19,12:23:20
31300,Van Ness Metro / UDC,"(38.944551, -77.063896)",5,7,12,12:23:20
31503,Florida Ave & R St NW,"(38.9126, -77.0135)",3,12,15,12:23:20
31608,8th & Eye St SE / Barracks Row,"(38.8792, -76.9953)",5,6,11,12:23:20
31301,Ward Circle / American University,"(38.938736, -77.087171)",7,8,15,12:23:20
31302,Wisconsin Ave & Newark St NW,"(38.934881, -77.072755)",8,8,16,12:23:20
31402,14th St Heights / 14th & Crittenden St NW,"(38.947774, -77.032818)",5,6,11,12:23:20
31804,Anacostia Library,"(38.865784, -76.9784)",5,6,11,12:23:20
31805,Pennsylvania & Minnesota Ave SE,"(38.873057, -76.971015)",2,9,11,12:23:20
31610,Eastern Market / 7th & North Carolina Ave SE,"(38.886952, -76.996806)",1,13,14,12:23:20
31216,14th St & New York Ave NW,"(38.899632, -77.031686)",5,16,21,12:23:20
31705,Benning Branch Library,"(38.894, -76.947974)",5,6,11,12:23:20
31217,USDA / 12th & C St SW,"(38.88627694506511, -77.02824175357819)",11,26,37,12:23:20
31501,12th & Newton St NE,"(38.933668, -76.991016)",3,8,11,12:23:20
31220,US Dept of State / Virginia Ave & 21st St NW,"(38.894919, -77.046587)",9,6,15,12:23:20
31218,L'Enfant Plaza / 7th & C St SW,"(38.886266, -77.022241)",15,0,15,12:23:20
31219,10th St & Constitution Ave NW,"(38.893028, -77.026013)",9,15,24,12:23:20
31211,Kennedy Center,"(38.897293, -77.05557)",7,10,17,12:23:20
31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,"(38.884, -76.995397)",19,0,19,12:23:20
31221,18th & M St NW,"(38.90506687455313, -77.04177886247635)",7,19,26,12:23:20
31303,Tenleytown / Wisconsin Ave & Albemarle St NW,"(38.947607, -77.079382)",4,9,13,12:23:20
31611,13th & H St NE,"(38.900021783466954, -76.98842167854308)",11,16,27,12:23:20
31620,5th & F St NW,"(38.897222, -77.019347)",0,26,26,12:23:20
31222,New York Ave & 15th St NW,"(38.89903234416315, -77.03335404396057)",2,17,19,12:23:20
31223,Convention Center / 7th & M St NW,"(38.905737, -77.02227)",3,20,23,12:23:20
